"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Â ","","",""
"Josh Allen","BUF","564.9","368.1","4,062.4","27.7","14.0","108.7","558.7","8.9","4.0","360.5"
"Jalen Hurts","PHI","520.2","339.4","3,810.6","24.4","12.1","144.1","619.8","11.2","3.8","359.9"
"Lamar Jackson","BAL","463.7","303.5","3,567.9","25.0","10.6","146.0","836.0","5.4","4.4","339.2"
"Patrick Mahomes II","KC","588.1","394.7","4,391.7","32.7","11.2","72.0","376.5","1.8","3.1","337.7"
"Anthony Richardson Sr.","IND","512.2","325.9","3,506.3","20.0","11.4","128.1","648.3","7.9","5.0","311.0"
"C.J. Stroud","HOU","557.0","362.6","4,336.0","29.5","10.1","43.8","183.8","2.4","3.6","306.3"
"Dak Prescott","DAL","572.5","385.0","4,181.0","30.5","12.0","51.9","221.7","2.0","2.8","306.1"
"Joe Burrow","CIN","580.3","389.0","4,239.3","30.1","11.5","56.7","191.2","2.1","3.1","304.4"
"Kyler Murray","ARI","530.8","353.8","3,711.3","22.0","12.1","96.0","530.4","5.1","2.6","303.1"
"Jordan Love","GB","545.5","354.8","3,987.6","29.4","11.5","45.7","200.5","2.4","3.0","294.0"
"Brock Purdy","SF","498.1","336.1","4,075.2","29.6","10.8","44.1","162.0","1.9","2.6","293.0"
"Jayden Daniels","WAS","543.6","338.6","3,583.0","20.1","13.8","114.6","594.4","5.0","4.4","290.5"
"Caleb Williams","CHI","532.7","346.6","3,783.9","25.3","13.4","78.1","363.5","3.3","4.3","286.8"
"Trevor Lawrence","JAC","566.4","373.5","3,985.7","24.4","12.5","66.4","306.4","3.5","4.8","286.2"
"Justin Herbert","LAC","544.8","356.2","3,850.6","24.5","9.9","64.8","263.4","2.7","3.0","278.4"
"Deshaun Watson","CLE","544.6","334.3","3,747.3","23.0","13.3","77.1","385.2","3.2","3.8","278.3"
"Jared Goff","DET","568.9","384.0","4,231.8","28.0","10.6","24.0","54.0","1.1","3.1","276.7"
"Tua Tagovailoa","MIA","545.1","371.0","4,268.9","27.3","12.5","31.8","88.8","0.6","3.8","272.4"
"Kirk Cousins","ATL","537.3","351.9","4,038.8","27.1","10.5","34.7","101.0","1.4","4.5","269.1"
"Baker Mayfield","TB","562.7","355.5","3,947.7","25.8","11.9","51.8","171.1","1.4","3.3","268.2"
"Matthew Stafford","LAR","553.0","355.4","4,127.5","26.9","12.5","24.0","67.8","0.6","2.2","266.1"
"Geno Smith","LV","521.4","341.8","3,745.7","24.1","11.9","50.6","204.0","1.7","3.1","259.0"
"Will Levis","TEN","513.3","323.4","3,728.6","22.2","12.4","53.8","185.2","2.2","4.2","249.2"
"Daniel Jones","IND","494.0","322.4","3,227.2","16.6","10.6","95.0","469.1","3.5","3.6","245.5"
"Derek Carr","NO","544.4","363.5","3,842.4","24.5","10.9","24.7","71.1","0.5","3.2","244.2"
"Sam Darnold","SEA","541.0","343.6","3,721.5","21.9","14.4","44.5","173.2","2.1","4.1","244.0"
"Bo Nix","DEN","496.6","309.9","3,210.5","19.0","12.1","61.4","281.0","2.4","3.6","227.5"
"Bryce Young","CAR","531.4","333.3","3,450.9","19.3","11.9","42.6","235.4","1.2","3.5","227.4"
"Russell Wilson","NYG","443.0","281.8","2,951.4","18.2","9.4","65.7","297.3","2.6","3.5","219.6"
"Gardner Minshew II","KC","413.3","259.2","2,792.8","16.1","10.3","34.0","123.5","1.8","2.9","182.8"
"Drake Maye","NE","422.6","267.9","2,452.3","12.2","10.1","54.7","206.4","1.6","1.9","163.5"
"Jacoby Brissett","ARI","126.6","80.8","1,300.9","7.4","4.8","11.6","94.5","0.8","1.6","87.9"
"Taysom Hill","NO","5.0","4.0","38.0","0.0","0.0","80.0","403.0","6.0","1.0","75.8"
"Aidan O'Connell","LV","202.4","127.8","1,242.7","6.5","4.6","18.1","36.6","0.3","1.0","74.9"
"Justin Fields","NYJ","98.9","60.7","761.3","4.1","3.1","38.8","219.5","1.6","1.8","71.4"
"Sam Howell","MIN","72.7","46.8","494.1","3.1","2.2","8.0","39.0","0.4","0.5","35.3"
"Drew Lock","SEA","74.1","46.4","505.0","3.3","1.8","7.9","24.9","0.1","0.6","33.9"
"Nick Mullens","JAC","82.9","53.6","562.0","3.0","2.1","5.6","18.2","0.1","0.7","33.2"
"Jarrett Stidham","DEN","64.4","40.1","439.7","2.4","1.8","8.1","26.0","0.3","0.6","28.9"
"Jameis Winston","NYG","60.5","37.6","423.9","2.5","2.0","5.8","21.6","0.1","0.2","27.0"
"Michael Penix Jr.","ATL","42.1","25.8","334.1","2.5","1.3","3.4","21.1","0.4","0.5","25.6"
"Jake Browning","CIN","50.6","32.7","328.0","2.4","1.0","5.6","23.5","0.2","0.2","24.7"
"Spencer Rattler","NO","66.6","43.7","336.7","2.4","0.8","5.5","22.2","0.1","0.2","24.6"
"Hendon Hooker","DET","68.1","44.1","338.4","1.9","1.4","6.1","25.7","0.2","0.3","22.9"
"Josh Johnson","WAS","42.7","26.7","293.5","1.9","0.9","8.8","37.0","0.3","0.3","22.9"
"Mitchell Trubisky","BUF","45.9","30.4","275.0","2.0","1.3","8.0","26.7","0.3","0.2","22.0"
"Jimmy Garoppolo","LAR","46.9","30.5","317.4","2.1","1.0","3.8","10.5","0.0","0.1","21.2"
"Skylar Thompson","PIT","70.3","44.4","340.6","1.7","1.4","5.8","19.6","0.1","0.3","21.1"
"Joshua Dobbs","NE","40.6","26.9","267.2","1.8","0.9","6.0","27.8","0.2","0.2","20.4"
"Tyson Bagent","CHI","46.3","29.7","291.0","1.7","1.2","5.2","24.4","0.1","0.2","20.0"
"Tyrod Taylor","NYJ","43.5","27.5","273.1","1.9","0.9","5.5","24.0","0.0","0.2","19.7"
"Cooper Rush","BAL","48.2","30.6","298.8","2.0","1.3","5.7","11.0","0.1","0.2","19.7"
"Davis Mills","HOU","47.6","29.9","290.2","1.9","1.0","4.5","14.9","0.1","0.2","19.5"
"Joe Flacco","CLE","48.9","30.7","317.6","1.8","1.1","5.0","13.3","0.0","0.5","19.4"
"Clayton Tune","ARI","48.4","30.9","305.6","1.6","1.4","5.7","20.8","0.1","0.2","19.3"
"Taylor Heinicke","LAC","42.9","27.3","274.8","1.7","0.9","6.6","27.6","0.1","0.5","19.3"
"Mac Jones","SF","46.9","31.5","293.7","1.7","0.9","5.4","18.9","0.0","0.1","19.3"
"Malik Willis","GB","40.8","25.1","256.0","1.9","0.9","6.9","26.1","0.1","0.3","19.2"
"Kenny Pickett","CLE","43.8","28.4","283.3","1.6","1.2","7.1","21.5","0.2","0.5","18.9"
"Marcus Mariota","WAS","42.6","26.4","272.2","1.5","1.2","6.9","30.3","0.1","0.2","18.9"
"Mason Rudolph","PIT","44.0","27.1","281.0","1.7","1.2","4.9","14.5","0.0","0.2","18.0"
"Andy Dalton","CAR","45.5","28.5","270.3","1.5","0.9","4.7","16.6","0.1","0.1","17.8"
"Easton Stick","ATL","0.0","0.0","215.0","1.0","1.0","0.0","13.0","0.0","0.0","12.9"
"Zach Wilson","MIA","0.0","0.0","200.0","1.0","1.0","0.0","17.0","0.0","0.0","12.7"
"Jaren Hall","SEA","0.0","0.0","174.0","1.0","1.0","0.0","26.0","0.0","0.0","12.6"
"Tommy DeVito","NYG","0.0","0.0","190.0","1.0","1.0","0.0","17.0","0.0","0.0","12.3"
"Trey Lance","LAC","24.0","15.0","177.0","1.0","1.0","5.0","18.5","0.0","0.0","11.9"
"Michael Pratt","TB","0.0","0.0","190.0","1.0","1.0","0.0","12.0","0.0","0.0","11.8"
"Jordan Travis","NYJ","0.0","0.0","188.0","1.0","1.0","0.0","10.0","0.0","0.0","11.5"
"Joe Milton III","DAL","0.0","0.0","190.0","1.0","1.0","0.0","17.0","0.0","1.0","10.3"
"Kyle Allen","DET","0.0","0.0","149.0","1.0","1.0","0.0","10.0","0.0","0.0","10.0"
"Sean Clifford","GB","0.0","0.0","154.0","1.0","1.0","0.0","8.0","0.0","0.0","10.0"
"Mike White","BUF","0.0","0.0","155.0","1.0","1.0","0.0","7.0","0.0","0.0","9.9"
"Bailey Zappe","KC","0.0","0.0","140.0","1.0","1.0","0.0","11.0","0.0","0.0","9.7"
"Jake Haener","NO","17.0","11.0","119.0","1.0","0.0","2.0","8.0","0.0","0.0","9.6"
"Stetson Bennett","LAR","0.0","0.0","92.0","1.0","0.0","0.0","13.0","0.0","0.0","9.0"
"Sam Hartman","WAS","0.0","0.0","100.0","1.0","0.0","0.0","7.0","0.0","0.0","8.7"
"Dorian Thompson-Robinson","PHI","25.0","14.0","121.5","0.5","0.5","5.0","21.0","0.0","0.0","8.5"
"Tanner McKee","PHI","0.0","0.0","80.0","1.0","0.0","0.0","8.0","0.0","0.0","8.0"
"Sam Ehlinger","DEN","0.0","0.0","76.0","1.0","0.0","0.0","8.0","0.0","0.0","7.8"
"Devin Leary","BAL","0.0","0.0","65.0","0.0","0.0","0.0","0.0","0.0","0.0","2.6"
""
""