"Player","Team","REC","YDS","TDS","FL","FPTS"
"Â ","",""
"Travis Kelce","KC","88.9","959.8","7.5","0.8","140.3"
"Sam LaPorta","DET","86.3","891.3","7.7","0.4","134.6"
"Mark Andrews","BAL","71.9","869.7","7.9","0.5","133.3"
"George Kittle","SF","65.2","881.3","6.0","0.4","123.3"
"Trey McBride","ARI","86.1","879.9","5.1","0.5","117.3"
"Kyle Pitts","ATL","67.9","871.1","5.2","0.4","117.3"
"Dalton Kincaid","BUF","82.3","822.1","5.4","0.8","113.0"
"Jake Ferguson","DAL","70.7","736.5","5.9","0.4","108.1"
"David Njoku","CLE","69.8","772.3","5.5","1.2","107.6"
"Evan Engram","DEN","85.4","786.9","4.4","0.9","103.0"
"Brock Bowers","LV","62.9","696.1","4.6","1.1","95.1"
"Dallas Goedert","PHI","65.5","689.9","4.0","0.5","92.2"
"Dalton Schultz","HOU","56.9","607.8","4.9","0.8","88.4"
"Taysom Hill","NO","28.8","272.2","2.1","0.4","87.8"
"Pat Freiermuth","PIT","54.8","572.4","4.1","0.5","81.2"
"Hunter Henry","NE","48.3","501.3","4.3","0.1","75.5"
"Cole Kmet","CHI","50.9","503.4","4.2","0.5","74.6"
"T.J. Hockenson","MIN","56.1","561.3","3.2","0.8","73.6"
"Tyler Conklin","LAC","53.3","532.5","3.3","0.1","73.1"
"Cade Otton","TB","49.3","490.1","3.8","0.4","70.7"
"Luke Musgrave","GB","47.5","499.4","3.4","0.1","70.4"
"Juwan Johnson","NO","41.7","453.7","4.1","0.1","69.9"
"Isaiah Likely","BAL","35.2","423.2","4.1","0.1","66.8"
"Chig Okonkwo","TEN","48.3","513.5","2.7","0.4","66.8"
"Noah Fant","SEA","45.9","488.5","2.8","0.1","65.3"
"Jonnu Smith","MIA","37.8","417.1","2.9","0.4","58.1"
"Mike Gesicki","CIN","35.9","352.0","3.1","0.1","53.7"
"Zach Ertz","WAS","38.4","353.7","2.7","0.1","51.5"
"Ben Sinnott","WAS","35.5","361.0","2.4","0.4","49.5"
"Dawson Knox","BUF","28.3","297.5","3.3","0.1","49.3"
"Tucker Kraft","GB","32.7","341.3","2.5","0.1","48.9"
"Greg Dulcich","NYG","33.5","377.0","1.9","0.1","48.8"
"Theo Johnson","NYG","35.6","345.7","2.3","0.6","47.4"
"Kylen Granson","PHI","31.0","333.6","2.1","0.1","45.8"
"Tyler Higbee","LAR","31.8","323.9","2.0","0.1","44.5"
"Ja'Tavion Sanders","CAR","29.9","311.0","2.3","0.4","44.1"
"Michael Mayer","LV","29.0","313.0","2.0","0.1","43.1"
"Colby Parkinson","LAR","27.8","293.6","2.3","0.1","42.8"
"Tommy Tremble","CAR","27.5","261.6","2.5","0.1","40.8"
"Daniel Bellinger","NYG","31.4","297.5","1.8","0.1","40.3"
"Noah Gray","KC","22.7","237.7","1.7","0.1","34.1"
"Will Dissly","LAC","24.8","238.7","1.6","0.1","33.2"
"Mo Alie-Cox","IND","17.3","194.1","2.0","0.0","31.6"
"Brevin Jordan","HOU","14.6","183.8","1.7","0.0","28.6"
"Josh Oliver","MIN","19.7","190.5","1.4","0.4","26.8"
"Durham Smythe","CHI","19.6","191.4","1.3","0.0","26.8"
"Jaheim Bell","NE","16.5","172.0","1.5","0.0","26.2"
"Brock Wright","DET","17.1","163.2","1.6","0.1","26.0"
"Adam Trautman","DEN","17.3","168.4","1.5","0.0","26.0"
"Tanner Hudson","CIN","17.8","171.1","1.4","0.0","25.3"
"Austin Hooper","NE","19.4","184.4","0.9","0.0","23.9"
"Jeremy Ruckert","NYJ","16.7","165.9","1.2","0.1","23.8"
"Donald Parham Jr.","PIT","14.4","150.5","1.4","0.0","23.7"
"Elijah Higgins","ARI","16.3","177.6","1.0","0.0","23.6"
"Johnny Mundt","JAC","18.4","174.0","1.0","0.1","23.5"
"Robert Tonyan","KC","15.0","153.0","1.0","0.0","21.3"
"Darnell Washington","PIT","15.5","151.7","0.9","0.0","20.6"
"Luke Schoonmaker","DAL","12.4","123.8","1.3","0.0","20.0"
"Stephen Sullivan","CAR","14.8","149.7","0.8","0.0","19.5"
"Josh Whyle","TEN","12.5","127.7","1.1","0.0","19.2"
"Davis Allen","LAR","12.6","129.2","1.0","0.0","18.7"
"Foster Moreau","NO","11.6","128.5","1.0","0.0","18.6"
"Devin Culp","TB","12.0","124.0","1.0","0.0","18.4"
"Tanner McLachlan","CIN","12.0","122.5","1.0","0.0","18.3"
"Pharaoh Brown","MIA","11.5","126.4","0.9","0.0","18.0"
"Will Mallory","IND","12.1","126.9","0.9","0.0","17.9"
"Irv Smith Jr.","HOU","11.0","116.0","1.0","0.0","17.6"
"AJ Barner","SEA","11.6","118.3","0.9","0.0","17.1"
"Stone Smartt","NYJ","10.6","117.9","0.9","0.0","17.1"
"Connor Heyward","PIT","14.6","130.7","0.7","0.0","17.1"
"Jared Wiley","KC","11.0","112.6","0.9","0.0","16.8"
"Drew Ogletree","IND","9.5","114.5","0.8","0.0","16.4"
"Ian Thomas","LV","12.7","129.5","0.6","0.0","16.3"
"Travis Vokolek","ARI","11.0","102.0","1.0","0.0","16.2"
"Jack Stoll","NO","9.0","95.0","1.0","0.0","15.5"
"Brenton Strange","JAC","9.7","92.1","1.0","0.0","15.2"
"Cade Stover","HOU","10.0","105.8","0.8","0.0","15.2"
"Erick All Jr.","CIN","10.3","103.0","0.8","0.0","15.0"
"Cameron Latu","PHI","13.0","88.0","1.0","0.0","14.8"
"Tip Reiman","ARI","10.2","99.1","0.8","0.0","14.7"
"Lucas Krull","DEN","9.6","103.5","0.7","0.0","14.7"
"Messiah Swinson","GB","9.0","85.0","1.0","0.0","14.5"
"Albert Okwuegbunam Jr.","IND","8.0","82.0","1.0","0.0","14.2"
"Dallin Holker","NO","9.3","95.4","0.8","0.0","14.1"
"Payne Durham","TB","9.2","96.8","0.7","0.0","14.0"
"Drew Sample","CIN","10.5","94.2","0.8","0.0","14.0"
"Grant Calcaterra","PHI","8.5","85.7","0.7","0.0","12.6"
"Luke Farrell","SF","8.7","87.9","0.7","0.0","12.6"
"Harrison Bryant","PHI","7.8","73.9","0.7","0.0","11.6"
"Brenden Bates","CLE","7.4","71.0","0.7","0.0","11.0"
"John Bates","WAS","8.6","80.6","0.4","0.0","10.6"
"Hunter Long","JAC","6.4","64.7","0.7","0.0","10.4"
"Ben Sims","GB","5.6","49.5","0.8","0.0","9.9"
"John Stephens Jr.","DAL","6.2","63.9","0.5","0.0","9.4"
"Charlie Kolar","BAL","5.8","63.5","0.4","0.0","8.8"
"Ko Kieft","TB","4.8","46.1","0.6","0.0","8.4"
"Brady Russell","SEA","5.0","48.5","0.6","0.0","8.4"
"Nate Adkins","DEN","5.4","47.6","0.6","0.0","8.2"
"Charlie Woerner","ATL","8.1","62.4","0.3","0.0","8.2"
"Julian Hill","MIA","6.8","63.9","0.6","1.0","8.0"
"Eric Saubert","SEA","6.9","57.2","0.3","0.0","7.4"
"Anthony Firkser","KC","4.4","41.4","0.3","0.0","6.0"
"Nick Muse","PHI","3.7","35.7","0.3","0.0","5.0"
"Chris Manhertz","NYG","5.4","46.8","0.1","0.0","5.0"
"Kenny Yeboah","DET","2.9","28.6","0.2","0.0","4.2"
"Teagan Quitoriano","ATL","2.0","22.3","0.2","0.0","3.3"
"Tre' McKitty","CLE","2.1","20.4","0.2","0.0","3.1"
"Stephen Carlson","CHI","2.0","19.3","0.2","0.0","3.0"
"Jake Tonges","SF","1.8","17.3","0.2","0.0","2.8"
""
""