name,team,position,rank,half_ppr
Ja'Marr Chase,CIN,WR1,1,260
Saquon Barkley,PHI,RB1,2,279
Bijan Robinson,ATL,RB2,3,269
Derrick Henry,BAL,RB4,4,260
CeeDee Lamb,DAL,WR2,5,232
Christian McCaffrey,SF,RB3,6,253
Justin Jefferson,MIN,WR3,7,246
Puka Nacua,LAR,WR4,8,226
Jahmyr Gibbs,DET,RB5,9,262
Jonathan Taylor,IND,RB6,10,237
Nico Collins,HOU,WR5,11,229
Ashton Jeanty,LVR,RB7,12,229
Brian Thomas Jr.,JAC,WR7,13,212
Malik Nabers,NYG,WR6,14,218
A.J. Brown,PHI,WR8,15,216
De'Von Achane,MIA,RB8,16,234
Drake London,ATL,WR10,17,210
Tee Higgins,CIN,WR11,18,212
Josh Jacobs,GB,RB9,19,232
Joe Mixon,HOU,RB10,20,213
Kyren Williams,LAR,RB11,21,222
Amon-Ra St. Brown,DET,WR9,22,210
Tyreek Hill,MIA,WR12,23,191
Breece Hall,NYJ,RB12,24,210
Lamar Jackson,BAL,QB1,25,361
Jayden Daniels,WAS,QB2,26,362
Bucky Irving,TB,RB14,27,232
Brock Bowers,LVR,TE1,28,191
Josh Allen,BUF,QB3,29,356
Jalen Hurts,PHI,QB4,30,361
Mike Evans,TB,WR13,31,185
Chase Brown,CIN,RB15,32,192
James Cook,BUF,RB16,33,214
Alvin Kamara,NO,RB13,34,210
Ladd McConkey,LAC,WR14,35,201
Rashee Rice,KC,WR15,36,177
Trey McBride,ARI,TE2,37,195
Kenneth Walker III,SEA,RB17,38,198
Davante Adams,LAR,WR16,39,201
James Conner,ARI,RB18,40,205
Chuba Hubbard,CAR,RB19,41,194
George Kittle,SF,TE3,42,178
Terry McLaurin,WAS,WR17,43,185
Xavier Worthy,KC,WR18,44,178
Marvin Harrison Jr.,ARI,WR19,45,180
D.J. Moore,CHI,WR20,46,179
D.K. Metcalf,PIT,WR22,47,170
Garrett Wilson,NYJ,WR21,48,171
Jaxon Smith-Njigba,SEA,WR23,49,173
Courtland Sutton,DEN,WR24,50,175
Tetairoa McMillan,CAR,WR25,51,153
Joe Burrow,CIN,QB5,52,345
DeVonta Smith,PHI,WR26,53,172
Zay Flowers,BAL,WR27,54,166
Chris Olave,NO,WR28,55,164
Travis Hunter,JAC,WR29,56,141
David Montgomery,DET,RB20,57,188
Jaylen Waddle,MIA,WR30,58,154
Sam LaPorta,DET,TE4,59,155
George Pickens,DAL,WR31,60,157
Jameson Williams,DET,WR32,61,155
Aaron Jones,MIN,RB21,62,183
Quinshon Judkins,CLE,RB22,63,160
Omarion Hampton,LAC,RB23,64,187
Mark Andrews,BAL,TE7,65,135
Chris Godwin,TB,WR33,66,156
Isiah Pacheco,KC,RB24,67,165
Tony Pollard,TEN,RB25,68,174
Calvin Ridley,TEN,WR34,69,162
Deebo Samuel,WAS,WR35,70,153
TreVeyon Henderson,NE,RB26,71,151
Travis Kelce,KC,TE5,72,151
Jonnu Smith,MIA,TE6,73,142
Jordan Addison,MIN,WR36,74,156
D'Andre Swift,CHI,RB27,75,179
RJ Harvey,DEN,RB28,76,167
Rome Odunze,CHI,WR38,77,146
Jakobi Meyers,LVR,WR37,78,155
Jayden Reed,GB,WR39,79,140
Jauan Jennings,SF,WR40,80,157
T.J. Hockenson,MIN,TE8,81,138
David Njoku,CLE,TE9,82,137
Brian Robinson Jr.,WAS,RB29,83,157
Kaleb Johnson,PIT,RB30,84,140
Khalil Shakir,BUF,WR41,85,150
Jerry Jeudy,CLE,WR42,86,163
Dalton Kincaid,BUF,TE10,87,120
Patrick Mahomes,KC,QB6,88,318
Rashid Shaheed,NO,WR43,89,146
Tucker Kraft,GB,TE11,90,123
Darnell Mooney,ATL,WR44,91,140
Ricky Pearsall,SF,WR45,92,138
Dallas Goedert,PHI,TE13,93,118
Keon Coleman,BUF,WR47,94,142
Tyler Warren,IND,TE14,95,99
Tank Bigsby,JAC,RB34,96,111
Travis Etienne,JAC,RB32,97,139
Jaylen Warren,PIT,RB31,98,161
Jake Ferguson,DAL,TE12,99,125
Stefon Diggs,NE,WR46,100,129
Josh Downs,IND,WR48,101,130
Michael Pittman Jr.,IND,WR49,102,131
Brandon Aiyuk,SF,WR50,103,121
Marquise Brown,KC,WR51,104,128
Cooper Kupp,SEA,WR52,105,140
Evan Engram,DEN,TE15,106,117
Najee Harris,LAC,RB33,107,120
Cameron Skattebo,NYG,RB35,108,112
Tyrone Tracy Jr.,NYG,RB36,109,147
Pat Freiermuth,PIT,TE16,110,112
Colston Loveland,CHI,TE17,111,99
Isaiah Likely,BAL,TE18,112,104
Zach Ertz,WAS,TE19,113,107
Christian Kirk,HOU,WR53,114,127
J.K. Dobbins,UNS,RB37,115,111
Younghoe Koo,ATL,K1,116,76
Kyle Pitts,ATL,TE20,117,102
Mike Gesicki,CIN,TE22,118,102
Hunter Henry,NE,TE24,119,108
Kyler Murray,ARI,QB7,120,301
Bo Nix,DEN,QB8,121,303
Baker Mayfield,TB,QB9,122,308
Justin Herbert,LAC,QB10,123,291
Caleb Williams,CHI,QB11,124,293
Tyjae Spears,TEN,RB38,125,116
Austin Ekeler,WAS,RB39,126,122
Jake Bates,DET,K2,127,81
Chigoziem Okonkwo,TEN,TE21,128,102
Keenan Allen,UNS,WR54,129,113
Jayden Higgins,HOU,WR55,130,122
Dak Prescott,DAL,QB12,131,278
Cade Otton,TB,TE23,132,106
Amari Cooper,UNS,WR56,133,108
Javonte Williams,DAL,RB40,134,147
Romeo Doubs,GB,WR57,135,111
Matthew Golden,GB,WR58,136,143
Dalton Schultz,HOU,TE25,137,98
Joshua Palmer,BUF,WR60,138,101
Luther Burden III,CHI,WR59,139,95
Justin Tucker,BAL,K3,140,63
Jordan Mason,MIN,RB41,141,106
Juwan Johnson,NO,TE26,142,92
Brenton Strange,JAC,TE27,143,94
Evan McPherson,CIN,K4,144,66
Tyler Bass,BUF,K5,145,67
Matt Gay,WAS,K6,146,66
Rashod Bateman,BAL,WR61,147,121
Jack Bech,LVR,WR62,148,114
Tyler Loop,BAL,K7,149,83
Quentin Johnston,LAC,WR63,150,110
Harrison Butker,KC,K8,151,74
Emeka Egbuka,TB,WR64,152,103
Mason Taylor,NYJ,TE28,153,76
Tre Harris,LAC,WR66,154,108
Justin Fields,NYJ,QB13,155,295
Trevor Lawrence,JAC,QB14,156,285
Drake Maye,NE,QB15,157,281
Rachaad White,TB,RB42,158,106
Jared Goff,DET,QB17,159,281
Brock Purdy,SF,QB17,160,296
Zach Charbonnet,SEA,RB43,161,110
Jordan Love,GB,QB18,162,272
C.J. Stroud,HOU,QB19,163,277
Rhamondre Stevenson,NE,RB44,164,133
Jake Elliott,PHI,K9,165,65
Diontae Johnson,CLE,WR65,166,97
Tua Tagovailoa,MIA,QB20,167,269
Chase McLaughlin,TB,K10,168,63
J.J. McCarthy,MIN,QB21,169,283
Jaydon Blue,DAL,RB45,170,68
Kyle Williams,NE,WR67,171,76
Xavier Legette,CAR,WR68,172,102
Cam Little,JAC,K11,173,59
Cole Kmet,CHI,TE29,174,77
Chad Ryland,ARI,K12,175,65
Bhayshul Tuten,JAC,RB46,176,67
Jalen Coker,CAR,WR69,177,90
Tyler Allgeier,ATL,RB47,178,92
Theo Johnson,NYG,TE30,179,81
Marvin Mims Jr.,DEN,WR70,180,116
Jason Sanders,MIA,K13,181,59
Ray Davis,BUF,RB48,182,83
Jalen McMillan,TB,WR72,183,92
Michael Wilson,ARI,WR71,184,107
Cedric Tillman,CLE,WR73,185,109
Cameron Dicker,LAC,K14,186,69
Adam Thielen,CAR,WR74,187,124
Jake Moody,SF,K15,188,59
Isaac Guerendo,SF,RB50,189,92
Trey Benson,ARI,RB51,190,87
Jaylen Wright,MIA,RB52,191,76
Alec Pierce,IND,WR76,192,88
Darius Slayton,NYG,WR77,193,89
Mike Williams,LAC,WR78,194,83
Elijah Arroyo,SEA,TE31,195,31
Terrance Ferguson,LAR,TE32,196,37
Ja'Tavion Sanders,CAR,TE33,197,71
Bryce Young,CAR,QB22,198,262
Wan'Dale Robinson,NYG,WR75,199,115
Roschon Johnson,CHI,RB49,200,89