Player,Team,actual_Rank,actual_REC(Recieving),actual_TGT(Recieving),actual_YDS(Recieving),actual_Y/R(Recieving),actual_LG(Recieving),actual_20+(Recieving),actual_TD(Recieving),actual_ATT(Rushing),actual_YDS(Rushing),actual_TD(Rushing),actual_FL,actual_G,actual_FPTS,actual_FPTS/G,actual_ROST,projections_REC(Recieving),projections_YDS(Recieving),projections_TD(Recieving),projections_FL,projections_FPTS,ADP
George Kittle,SF,1.0,78.0,94.0,1106,14.2,43.0,21.0,8.0,0.0,0.0,0.0,0.0,15.0,158.6,10.6,95.3,65.2,881.3,6.0,0.4,123.3,64.5
Brock Bowers,LV,2.0,112.0,153.0,1194,10.7,57.0,15.0,5.0,5.0,13.0,0.0,0.0,17.0,150.7,8.9,98.3,62.9,696.1,4.6,1.1,95.1,91.5
Trey McBride,ARI,3.0,111.0,147.0,1146,10.3,37.0,10.0,2.0,1.0,2.0,1.0,0.0,16.0,138.8,8.7,95.3,86.1,879.9,5.1,0.5,117.3,48.5
Jonnu Smith,MIA,4.0,88.0,111.0,884,10.0,57.0,4.0,8.0,2.0,-1.0,0.0,1.0,17.0,134.3,7.9,83.8,37.8,417.1,2.9,0.4,58.1,222.5
Mark Andrews,BAL,5.0,55.0,69.0,673,12.2,67.0,6.0,11.0,4.0,5.0,0.0,0.0,17.0,133.8,7.9,90.4,71.9,869.7,7.9,0.5,133.3,49.5
Sam LaPorta,DET,6.0,60.0,83.0,726,12.1,52.0,11.0,7.0,0.0,0.0,0.0,0.0,16.0,114.6,7.2,94.0,86.3,891.3,7.7,0.4,134.6,31.0
Tucker Kraft,GB,7.0,50.0,70.0,707,14.1,67.0,11.0,7.0,3.0,6.0,0.0,1.0,17.0,113.3,6.7,64.8,32.7,341.3,2.5,0.1,48.9,279.0
Zach Ertz,WAS,8.0,66.0,91.0,654,9.9,37.0,7.0,7.0,0.0,0.0,0.0,0.0,17.0,111.4,6.6,37.4,38.4,353.7,2.7,0.1,51.5,258.0
Pat Freiermuth,PIT,9.0,65.0,78.0,653,10.0,30.0,7.0,7.0,0.0,0.0,0.0,2.0,17.0,103.3,6.1,36.9,54.8,572.4,4.1,0.5,81.2,129.0
Travis Kelce,KC,10.0,97.0,133.0,823,8.5,38.0,9.0,3.0,1.0,1.0,0.0,1.0,16.0,98.4,6.2,82.6,88.9,959.8,7.5,0.8,140.3,30.5
David Njoku,CLE,11.0,64.0,97.0,505,7.9,29.0,4.0,5.0,0.0,0.0,0.0,0.0,11.0,84.5,7.7,79.2,69.8,772.3,5.5,1.2,107.6,90.5
Kyle Pitts,ATL,12.0,47.0,74.0,602,12.8,52.0,7.0,4.0,0.0,0.0,0.0,0.0,17.0,84.2,5.0,46.8,67.9,871.1,5.2,0.4,117.3,65.0
Isaiah Likely,BAL,13.0,42.0,58.0,477,11.4,49.0,4.0,6.0,0.0,0.0,0.0,1.0,16.0,81.7,5.1,33.6,35.2,423.2,4.1,0.1,66.8,186.5
Cade Otton,TB,14.0,59.0,87.0,600,10.2,44.0,7.0,4.0,1.0,-4.0,0.0,1.0,14.0,81.6,5.8,35.4,49.3,490.1,3.8,0.4,70.7,199.5
Taysom Hill,NO,15.0,23.0,31.0,187,8.1,34.0,2.0,0.0,39.0,278.0,6.0,1.0,8.0,80.3,10.0,24.5,28.8,272.2,2.1,0.4,87.8,154.0
Hunter Henry,NE,16.0,66.0,97.0,674,10.2,35.0,4.0,2.0,0.0,0.0,0.0,0.0,16.0,79.4,5.0,49.8,48.3,501.3,4.3,0.1,75.5,188.0
Mike Gesicki,CIN,17.0,65.0,83.0,665,10.2,47.0,5.0,2.0,0.0,0.0,0.0,1.0,17.0,76.5,4.5,52.4,35.9,352.0,3.1,0.1,53.7,247.5
Cole Kmet,CHI,18.0,47.0,55.0,474,10.1,31.0,7.0,4.0,0.0,0.0,0.0,0.0,17.0,73.4,4.3,29.5,50.9,503.4,4.2,0.5,74.6,134.5
Noah Gray,KC,19.0,40.0,49.0,437,10.9,35.0,6.0,5.0,1.0,-4.0,0.0,0.0,17.0,73.3,4.3,34.7,22.7,237.7,1.7,0.1,34.1,0.0
Juwan Johnson,NO,20.0,50.0,66.0,548,11.0,30.0,8.0,3.0,0.0,0.0,0.0,0.0,17.0,72.8,4.3,22.5,41.7,453.7,4.1,0.1,69.9,238.0
Foster Moreau,NO,21.0,32.0,43.0,413,12.9,41.0,7.0,5.0,0.0,0.0,0.0,0.0,17.0,71.3,4.2,1.8,11.6,128.5,1.0,0.0,18.6,0.0
Tyler Conklin,LAC,22.0,51.0,72.0,449,8.8,27.0,7.0,4.0,1.0,0.0,0.0,0.0,16.0,70.9,4.4,30.6,53.3,532.5,3.3,0.1,73.1,187.0
Dalton Schultz,HOU,23.0,53.0,85.0,532,10.0,32.0,5.0,2.0,0.0,0.0,0.0,0.0,17.0,65.2,3.8,42.1,56.9,607.8,4.9,0.8,88.4,127.5
Austin Hooper,NE,24.0,45.0,59.0,476,10.6,38.0,5.0,3.0,0.0,0.0,0.0,1.0,17.0,63.6,3.7,4.4,19.4,184.4,0.9,0.0,23.9,0.0
Dallas Goedert,PHI,25.0,42.0,52.0,496,11.8,61.0,7.0,2.0,0.0,0.0,0.0,0.0,10.0,61.6,6.2,63.2,65.5,689.9,4.0,0.5,92.2,115.0
Chig Okonkwo,TEN,26.0,52.0,70.0,479,9.2,70.0,4.0,2.0,1.0,17.0,0.0,1.0,17.0,61.6,3.6,37.5,48.3,513.5,2.7,0.4,66.8,200.5
Will Dissly,LAC,27.0,50.0,64.0,481,9.6,29.0,5.0,2.0,0.0,0.0,0.0,0.0,15.0,60.1,4.0,15.0,24.8,238.7,1.6,0.1,33.2,0.0
Dalton Kincaid,BUF,28.0,44.0,75.0,448,10.2,29.0,5.0,2.0,0.0,0.0,0.0,0.0,13.0,56.8,4.4,68.5,82.3,822.1,5.4,0.8,113.0,49.5
Noah Fant,SEA,29.0,48.0,64.0,500,10.4,32.0,3.0,1.0,0.0,0.0,0.0,0.0,14.0,56.0,4.0,22.9,45.9,488.5,2.8,0.1,65.3,225.0
Brenton Strange,JAC,30.0,40.0,53.0,411,10.3,30.0,7.0,2.0,0.0,0.0,0.0,1.0,17.0,51.1,3.0,33.1,9.7,92.1,1.0,0.0,15.2,0.0
AJ Barner,SEA,32.0,30.0,38.0,245,8.2,20.0,1.0,4.0,0.0,0.0,0.0,0.0,17.0,48.5,2.9,21.2,11.6,118.3,0.9,0.0,17.1,0.0
T.J. Hockenson,MIN,33.0,41.0,62.0,455,11.1,34.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,45.5,4.6,86.8,56.1,561.3,3.2,0.8,73.6,125.0
Jake Ferguson,DAL,34.0,59.0,86.0,494,8.4,27.0,6.0,0.0,0.0,0.0,0.0,2.0,14.0,45.4,3.2,52.1,70.7,736.5,5.9,0.4,108.1,85.5
Josh Oliver,MIN,35.0,22.0,28.0,258,11.7,28.0,5.0,3.0,0.0,0.0,0.0,0.0,15.0,43.8,2.9,2.7,19.7,190.5,1.4,0.4,26.8,0.0
Evan Engram,DEN,36.0,47.0,64.0,365,7.8,24.0,2.0,1.0,0.0,0.0,0.0,1.0,9.0,42.5,4.7,67.2,85.4,786.9,4.4,0.9,103.0,70.5
Ja'Tavion Sanders,CAR,37.0,33.0,43.0,342,10.4,46.0,6.0,1.0,0.0,0.0,0.0,0.0,16.0,40.2,2.5,38.9,29.9,311.0,2.3,0.4,44.1,246.0
Theo Johnson,NYG,38.0,29.0,43.0,331,11.4,35.0,4.0,1.0,0.0,0.0,0.0,0.0,12.0,39.1,3.3,26.4,35.6,345.7,2.3,0.6,47.4,258.0
Dawson Knox,BUF,39.0,22.0,33.0,311,14.1,39.0,7.0,1.0,0.0,0.0,0.0,0.0,16.0,37.1,2.3,12.9,28.3,297.5,3.3,0.1,49.3,277.0
Grant Calcaterra,PHI,40.0,24.0,30.0,298,12.4,34.0,6.0,1.0,0.0,0.0,0.0,0.0,17.0,35.8,2.1,4.6,8.5,85.7,0.7,0.0,12.6,0.0
Colby Parkinson,LAR,41.0,30.0,49.0,294,9.8,23.0,2.0,1.0,0.0,0.0,0.0,0.0,17.0,35.4,2.1,10.2,27.8,293.6,2.3,0.1,42.8,266.0
Tommy Tremble,CAR,42.0,23.0,32.0,234,10.2,38.0,2.0,2.0,0.0,0.0,0.0,1.0,12.0,33.4,2.8,4.2,27.5,261.6,2.5,0.1,40.8,0.0
Josh Whyle,TEN,43.0,28.0,37.0,248,8.9,33.0,3.0,1.0,0.0,0.0,0.0,0.0,17.0,32.8,1.9,2.4,12.5,127.7,1.1,0.0,19.2,0.0
Adam Trautman,DEN,45.0,13.0,22.0,188,14.5,37.0,2.0,2.0,0.0,0.0,0.0,0.0,17.0,30.8,1.8,0.8,17.3,168.4,1.5,0.0,26.0,0.0
Luke Schoonmaker,DAL,46.0,27.0,36.0,241,8.9,24.0,3.0,1.0,0.0,0.0,0.0,0.0,17.0,30.1,1.8,5.2,12.4,123.8,1.3,0.0,20.0,0.0
Nate Adkins,DEN,47.0,14.0,15.0,115,8.2,16.0,0.0,3.0,0.0,0.0,0.0,0.0,17.0,29.5,1.7,0.6,5.4,47.6,0.6,0.0,8.2,0.0
Elijah Higgins,ARI,48.0,20.0,24.0,172,8.6,23.0,1.0,2.0,0.0,0.0,0.0,0.0,17.0,29.2,1.7,3.1,16.3,177.6,1.0,0.0,23.6,0.0
Johnny Mundt,JAC,49.0,19.0,27.0,142,7.5,20.0,1.0,2.0,0.0,0.0,0.0,0.0,17.0,26.2,1.5,0.1,18.4,174.0,1.0,0.1,23.5,0.0
Darnell Washington,PIT,50.0,19.0,25.0,200,10.5,29.0,3.0,1.0,0.0,0.0,0.0,0.0,17.0,26.0,1.5,3.2,15.5,151.7,0.9,0.0,20.6,0.0
Payne Durham,TB,51.0,11.0,14.0,115,10.5,31.0,2.0,2.0,0.0,0.0,0.0,0.0,16.0,23.5,1.5,1.2,9.2,96.8,0.7,0.0,14.0,0.0
Brock Wright,DET,52.0,13.0,16.0,100,7.7,16.0,0.0,2.0,0.0,0.0,0.0,0.0,17.0,22.0,1.3,1.5,17.1,163.2,1.6,0.1,26.0,0.0
Mo Alie-Cox,IND,53.0,12.0,22.0,147,12.3,22.0,2.0,1.0,0.0,0.0,0.0,0.0,17.0,20.7,1.2,1.2,17.3,194.1,2.0,0.0,31.6,316.0
Tanner Hudson,CIN,54.0,19.0,23.0,154,8.1,19.0,0.0,1.0,1.0,1.0,0.0,1.0,11.0,19.5,1.8,1.1,17.8,171.1,1.4,0.0,25.3,0.0
Cade Stover,HOU,55.0,15.0,22.0,133,8.9,27.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,19.3,1.3,7.2,10.0,105.8,0.8,0.0,15.2,0.0
Charlie Kolar,BAL,56.0,9.0,11.0,131,14.6,55.0,2.0,1.0,1.0,2.0,0.0,0.0,13.0,19.3,1.5,0.1,5.8,63.5,0.4,0.0,8.8,0.0
Stone Smartt,NYJ,57.0,16.0,19.0,208,13.0,31.0,4.0,0.0,0.0,0.0,0.0,1.0,15.0,18.8,1.3,7.8,10.6,117.9,0.9,0.0,17.1,0.0
Tyler Higbee,LAR,58.0,8.0,12.0,66,8.3,17.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,18.6,6.2,29.4,31.8,323.9,2.0,0.1,44.5,0.0
Kylen Granson,PHI,59.0,14.0,31.0,182,13.0,40.0,3.0,0.0,0.0,0.0,0.0,0.0,17.0,18.2,1.1,2.2,31.0,333.6,2.1,0.1,45.8,0.0
Drew Ogletree,IND,60.0,9.0,14.0,109,12.1,22.0,3.0,1.0,0.0,0.0,0.0,0.0,17.0,16.9,1.0,0.6,9.5,114.5,0.8,0.0,16.4,0.0
Drew Sample,CIN,61.0,20.0,22.0,109,5.5,12.0,0.0,1.0,1.0,-4.0,0.0,0.0,17.0,16.5,1.0,0.8,10.5,94.2,0.8,0.0,14.0,0.0
Erick All Jr.,CIN,62.0,20.0,22.0,158,7.9,28.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,15.8,1.8,4.5,10.3,103.0,0.8,0.0,15.0,0.0
Eric Saubert,SEA,63.0,11.0,14.0,97,8.8,17.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,15.7,0.9,1.0,6.9,57.2,0.3,0.0,7.4,0.0
Michael Mayer,LV,64.0,21.0,32.0,156,7.4,29.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,15.6,1.4,25.2,29.0,313.0,2.0,0.1,43.1,285.5
Lucas Krull,DEN,65.0,19.0,23.0,152,8.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,15.2,1.2,1.0,9.6,103.5,0.7,0.0,14.7,0.0
Daniel Bellinger,NYG,66.0,14.0,17.0,125,8.9,17.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,12.5,0.7,3.1,31.4,297.5,1.8,0.1,40.3,294.5
Kenny Yeboah,DET,68.0,5.0,8.0,47,9.4,13.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,10.7,1.2,6.0,2.9,28.6,0.2,0.0,4.2,0.0
Jeremy Ruckert,NYJ,69.0,18.0,28.0,105,5.8,12.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,10.5,0.6,2.0,16.7,165.9,1.2,0.1,23.8,0.0
Julian Hill,MIA,70.0,12.0,19.0,100,8.3,17.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,10.0,0.6,0.6,6.8,63.9,0.6,1.0,8.0,0.0
Connor Heyward,PIT,72.0,6.0,8.0,40,6.7,16.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,10.0,0.6,0.1,14.6,130.7,0.7,0.0,17.1,0.0
Chris Manhertz,NYG,74.0,3.0,4.0,30,10.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,9.0,0.5,0.1,5.4,46.8,0.1,0.0,5.0,0.0
Devin Culp,TB,75.0,5.0,6.0,88,17.6,26.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,8.8,1.8,1.3,12.0,124.0,1.0,0.0,18.4,0.0
Ben Sinnott,WAS,77.0,5.0,5.0,28,5.6,12.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,8.8,0.5,25.9,35.5,361.0,2.4,0.4,49.5,208.0
Harrison Bryant,PHI,78.0,9.0,12.0,86,9.6,18.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8.6,0.7,0.1,7.8,73.9,0.7,0.0,11.6,0.0
Luke Farrell,SF,80.0,12.0,17.0,67,5.6,11.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,6.7,0.4,0.1,8.7,87.9,0.7,0.0,12.6,0.0
John Bates,WAS,82.0,8.0,13.0,84,10.5,20.0,1.0,0.0,0.0,0.0,0.0,1.0,17.0,6.4,0.4,0.6,8.6,80.6,0.4,0.0,10.6,0.0
Hunter Long,JAC,83.0,7.0,9.0,60,8.6,18.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,6.0,0.4,0.1,6.4,64.7,0.7,0.0,10.4,0.0
Durham Smythe,CHI,84.0,9.0,17.0,53,5.9,8.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,5.3,0.3,0.1,19.6,191.4,1.3,0.0,26.8,0.0
Charlie Woerner,ATL,86.0,7.0,12.0,46,6.6,13.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.6,0.3,0.1,8.1,62.4,0.3,0.0,8.2,0.0
Luke Musgrave,GB,87.0,7.0,10.0,45,6.4,19.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.5,0.6,18.6,47.5,499.4,3.4,0.1,70.4,161.0
Pharaoh Brown,MIA,88.0,8.0,12.0,65,8.1,17.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,4.5,0.3,0.1,11.5,126.4,0.9,0.0,18.0,0.0
Ben Sims,GB,89.0,4.0,5.0,42,10.5,28.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,4.2,0.2,0.1,5.6,49.5,0.8,0.0,9.9,0.0
Davis Allen,LAR,90.0,6.0,13.0,39,6.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3.9,0.3,1.3,12.6,129.2,1.0,0.0,18.7,0.0
Tip Reiman,ARI,92.0,6.0,7.0,37,6.2,14.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.7,0.2,0.1,10.2,99.1,0.8,0.0,14.7,0.0
Will Mallory,IND,94.0,4.0,8.0,29,7.3,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.9,0.3,0.1,12.1,126.9,0.9,0.0,17.9,0.0
Greg Dulcich,NYG,95.0,5.0,12.0,28,5.6,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.8,0.3,6.0,33.5,377.0,1.9,0.1,48.8,260.0
Dallin Holker,NO,98.0,3.0,4.0,21,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.1,0.2,1.0,9.3,95.4,0.8,0.0,14.1,0.0
Jaheim Bell,NE,99.0,2.0,3.0,20,10.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,0.2,3.2,16.5,172.0,1.5,0.0,26.2,0.0
Jack Stoll,NO,102.0,2.0,3.0,10,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.1,0.0,9.0,95.0,1.0,0.0,15.5,0.0
Brevin Jordan,HOU,104.0,2.0,3.0,7,3.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.7,0.4,1.2,14.6,183.8,1.7,0.0,28.6,0.0
Jared Wiley,KC,106.0,1.0,1.0,7,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.7,0.1,1.6,11.0,112.6,0.9,0.0,16.8,0.0
Ian Thomas,LV,108.0,3.0,6.0,7,2.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.7,0.1,0.1,12.7,129.5,0.6,0.0,16.3,0.0
Stephen Sullivan,CAR,117.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.8,149.7,0.8,0.0,19.5,0.0
Stephen Carlson,CHI,123.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,19.3,0.2,0.0,3.0,0.0
Donald Parham Jr.,PIT,124.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,14.4,150.5,1.4,0.0,23.7,0.0
Brady Russell,SEA,128.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,3.1,5.0,48.5,0.6,0.0,8.4,0.0
Travis Vokolek,ARI,129.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,102.0,1.0,0.0,16.2,0.0
John Stephens Jr.,DAL,134.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,6.2,63.9,0.5,0.0,9.4,0.0
Tanner McLachlan,CIN,143.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,122.5,1.0,0.0,18.3,0.0
Brenden Bates,CLE,147.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.1,7.4,71.0,0.7,0.0,11.0,0.0
Messiah Swinson,GB,148.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,85.0,1.0,0.0,14.5,0.0
Tre' McKitty,CLE,161.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,20.4,0.2,0.0,3.1,0.0
Ko Kieft,TB,162.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,4.8,46.1,0.6,0.0,8.4,0.0
Jake Tonges,SF,164.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.8,17.3,0.2,0.0,2.8,0.0
Cameron Latu,PHI,169.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,88.0,1.0,0.0,14.8,0.0
Nick Muse,PHI,170.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.7,35.7,0.3,0.0,5.0,0.0
Teagan Quitoriano,ATL,171.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,22.3,0.2,0.0,3.3,0.0
Irv Smith Jr.,HOU,174.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,11.0,116.0,1.0,0.0,17.6,0.0
Anthony Firkser,KC,188.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4.4,41.4,0.3,0.0,6.0,0.0
Robert Tonyan,KC,189.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,15.0,153.0,1.0,0.0,21.3,0.0
Albert Okwuegbunam Jr.,IND,191.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,82.0,1.0,0.0,14.2,0.0
