Player,Team,actual_Rank,actual_REC(Recieving),actual_TGT(Recieving),actual_YDS(Recieving),actual_Y/R(Recieving),actual_LG(Recieving),actual_20+(Recieving),actual_TD(Recieving),actual_ATT(Rushing),actual_YDS(Rushing),actual_TD(Rushing),actual_FL,actual_G,actual_FPTS,actual_FPTS/G,actual_ROST,projections_REC(Recieving),projections_YDS(Recieving),projections_TD(Recieving),projections_ATT(Rushing),projections_YDS(Rushing),projections_TD(Rushing),projections_FL,projections_FPTS,ADP
Brandon Aiyuk,SF,103.0,25.0,47.0,374,15.0,53.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,37.4,5.3,61.8,75.2,1130.7,7.2,0.8,4.0,0.0,0.9,155.2,34.5
Kendrick Bourne,NE,104.0,28.0,38.0,305,10.9,37.0,2.0,1.0,1.0,6.0,0.0,0.0,12.0,37.1,3.1,5.4,39.1,471.3,3.1,2.8,17.1,0.0,0.5,66.8,292.5
Mike Williams,LAC,105.0,21.0,34.0,298,14.2,32.0,6.0,1.0,0.0,0.0,0.0,0.0,18.0,35.8,2.0,35.8,56.1,752.6,4.9,2.3,9.2,0.0,0.5,104.6,144.0
JuJu Smith-Schuster,KC,107.0,18.0,26.0,231,12.8,50.0,3.0,2.0,0.0,0.0,0.0,0.0,14.0,35.1,2.5,3.7,21.2,223.8,1.6,0.3,1.0,0.0,0.0,31.9,0.0
Tyler Johnson,NYJ,108.0,26.0,41.0,291,11.2,63.0,4.0,1.0,0.0,0.0,0.0,0.0,15.0,35.1,2.3,0.6,2.1,25.2,0.2,0.0,0.0,0.0,0.0,3.8,0.0
Gabe Davis,JAC,109.0,20.0,42.0,239,12.0,22.0,6.0,2.0,0.0,0.0,0.0,1.0,10.0,33.9,3.4,31.2,50.0,739.2,5.5,0.3,1.3,0.0,0.9,105.1,151.5
Curtis Samuel,BUF,111.0,31.0,46.0,253,8.2,38.0,2.0,1.0,5.0,14.0,0.0,0.0,14.0,32.7,2.3,19.9,61.0,663.1,4.6,11.3,66.7,1.0,0.5,105.5,123.5
John Metchie III,HOU,112.0,24.0,37.0,254,10.6,28.0,3.0,1.0,0.0,0.0,0.0,0.0,13.0,31.4,2.4,5.2,19.2,232.7,1.5,0.0,5.3,0.0,0.1,32.7,0.0
Adonai Mitchell,IND,114.0,23.0,55.0,312,13.6,36.0,4.0,0.0,4.0,6.0,0.0,1.0,17.0,30.8,1.8,38.3,48.6,657.2,3.8,0.7,4.8,0.0,0.8,87.3,147.5
Jordan Whittington,LAR,115.0,22.0,28.0,293,13.3,50.0,4.0,0.0,2.0,12.0,0.0,0.0,15.0,30.5,2.0,32.1,10.8,129.6,0.9,0.0,0.0,0.0,0.0,18.2,284.0
Cedrick Wilson Jr.,NO,116.0,20.0,27.0,211,10.6,25.0,1.0,1.0,1.0,-3.0,0.0,1.0,15.0,29.6,2.0,3.6,26.6,330.3,2.7,0.3,2.3,0.0,0.1,49.4,0.0
Malik Washington,MIA,117.0,26.0,36.0,223,8.6,20.0,2.0,0.0,5.0,25.0,1.0,1.0,14.0,28.8,2.1,20.1,12.6,157.0,1.0,2.1,13.3,0.1,0.0,23.0,290.0
Derius Davis,LAC,118.0,13.0,17.0,112,8.6,23.0,1.0,2.0,12.0,39.0,0.0,0.0,15.0,27.1,1.8,1.1,7.0,81.2,0.6,6.7,38.6,0.1,0.1,15.8,0.0
Josh Reynolds,NYJ,119.0,13.0,24.0,194,14.9,49.0,4.0,1.0,0.0,0.0,0.0,0.0,9.0,25.4,2.8,0.7,41.0,532.4,3.6,0.0,1.5,0.0,0.5,74.2,303.0
Tylan Wallace,BAL,120.0,11.0,12.0,193,17.5,84.0,2.0,1.0,0.0,0.0,0.0,0.0,17.0,25.3,1.5,0.6,3.2,41.3,0.1,0.0,2.0,0.0,0.0,4.8,0.0
KhaDarel Hodge,ATL,121.0,7.0,12.0,131,18.7,45.0,3.0,1.0,0.0,0.0,0.0,0.0,16.0,25.1,1.6,0.6,20.6,272.0,1.7,0.0,0.0,0.0,0.3,36.9,0.0
Jalen Brooks,DAL,123.0,12.0,30.0,177,14.8,41.0,2.0,1.0,0.0,0.0,0.0,0.0,14.0,23.7,1.7,0.8,11.5,106.9,0.8,0.0,0.0,0.0,0.0,15.3,0.0
Trey Palmer,TB,124.0,12.0,22.0,172,14.3,27.0,2.0,1.0,0.0,0.0,0.0,0.0,15.0,23.2,1.5,1.9,29.4,344.0,2.3,3.8,21.4,0.1,0.5,49.7,0.0
Jahan Dotson,PHI,125.0,19.0,33.0,216,11.4,36.0,2.0,0.0,1.0,13.0,0.0,0.0,17.0,22.9,1.3,19.7,35.5,435.7,3.5,0.0,2.0,0.0,0.4,63.7,195.5
Malik Heath,GB,126.0,10.0,13.0,97,9.7,41.0,1.0,2.0,0.0,0.0,0.0,0.0,12.0,21.7,1.8,0.6,5.4,62.1,0.5,0.0,1.0,0.0,0.0,9.6,0.0
Mecole Hardman Jr.,GB,127.0,12.0,14.0,90,7.5,17.0,0.0,0.0,5.0,62.0,1.0,0.0,12.0,21.2,1.8,0.7,5.1,64.5,0.6,2.1,15.4,0.1,0.0,11.8,0.0
Ja'Lynn Polk,NE,128.0,12.0,33.0,87,7.3,21.0,1.0,2.0,1.0,0.0,0.0,0.0,15.0,20.7,1.4,25.0,58.7,723.0,3.2,0.7,5.8,0.0,0.8,90.7,169.0
Bub Means,NO,131.0,9.0,15.0,118,13.1,36.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,17.8,2.5,2.8,13.2,160.2,1.1,0.0,0.0,0.0,0.0,22.3,0.0
Ashton Dulin,IND,132.0,2.0,8.0,67,33.5,54.0,1.0,1.0,5.0,45.0,0.0,0.0,15.0,17.2,1.1,0.1,6.5,75.1,0.6,0.0,2.0,0.0,0.0,11.6,0.0
Luke McCaffrey,WAS,134.0,18.0,24.0,168,9.3,30.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,16.8,1.0,16.1,35.9,422.7,2.1,0.7,9.3,0.0,0.4,55.2,219.0
Jake Bobo,SEA,135.0,13.0,17.0,107,8.2,15.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,16.7,1.0,3.6,15.0,173.7,1.3,0.0,1.3,0.0,0.1,25.0,0.0
Jonathan Mingo,DAL,137.0,17.0,42.0,167,9.8,35.0,2.0,0.0,2.0,5.0,0.0,1.0,17.0,15.2,0.9,3.5,36.0,422.8,2.1,0.0,3.0,0.0,0.1,54.7,298.0
Bo Melton,GB,138.0,8.0,17.0,91,11.4,28.0,1.0,0.0,8.0,54.0,0.0,0.0,17.0,14.5,0.9,1.5,5.9,68.5,0.5,1.0,6.3,0.0,0.1,10.4,0.0
Trent Sherfield Sr.,DEN,139.0,8.0,10.0,83,10.4,17.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,14.3,0.8,0.1,13.9,165.5,1.0,0.0,2.0,0.0,0.0,22.5,0.0
Rakim Jarrett,TB,141.0,9.0,11.0,124,13.8,30.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,12.4,1.2,1.0,14.0,175.0,1.0,0.0,10.0,0.0,0.0,24.5,0.0
Xavier Hutchinson,HOU,142.0,12.0,26.0,117,9.8,19.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,11.7,0.7,1.2,6.4,76.6,0.6,0.0,7.0,0.0,0.0,11.9,0.0
K.J. Osborn,WAS,143.0,7.0,18.0,57,8.1,22.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,11.7,1.5,1.0,24.8,301.0,1.7,0.0,2.0,0.0,0.1,40.1,308.0
Ainias Smith,PHI,145.0,7.0,9.0,41,5.9,15.0,0.0,1.0,2.0,6.0,0.0,0.0,7.0,10.7,1.5,1.2,11.0,141.0,1.0,0.0,6.0,0.0,0.0,20.7,0.0
Jermaine Burton,CIN,146.0,4.0,14.0,107,26.8,47.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,10.7,0.8,14.4,34.9,442.6,2.9,0.7,4.3,0.0,0.4,61.6,213.0
Simi Fehoko,ARI,147.0,6.0,16.0,106,17.7,30.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,10.6,1.3,1.0,1.7,20.2,0.2,0.0,0.0,0.0,0.0,3.0,0.0
Mason Tipton,NO,148.0,14.0,26.0,99,7.1,15.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.9,0.9,0.7,7.7,86.1,0.6,0.0,0.0,0.0,0.0,12.4,0.0
Johnny Wilson,PHI,149.0,5.0,15.0,38,7.6,9.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,9.8,0.6,1.1,11.8,140.0,0.9,0.0,2.5,0.0,0.0,19.3,0.0
Marquise Brown,KC,151.0,9.0,15.0,91,10.1,20.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,9.1,4.6,81.9,56.7,755.1,6.1,1.2,10.3,0.0,0.4,112.3,105.5
Parris Campbell,DAL,153.0,6.0,8.0,30,5.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,9.0,1.8,0.1,14.0,152.0,1.0,0.0,5.0,0.0,0.0,21.7,0.0
Xavier Gipson,NYJ,154.0,6.0,10.0,39,6.5,17.0,0.0,1.0,1.0,5.0,0.0,1.0,17.0,8.4,0.5,1.3,19.4,221.4,1.6,4.6,32.6,0.2,0.1,35.6,0.0
Zay Jones,ARI,155.0,8.0,11.0,84,10.5,25.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,8.4,0.8,4.8,25.7,291.0,1.9,0.0,2.0,0.0,0.6,39.6,277.0
Devin Duvernay,CHI,156.0,11.0,16.0,79,7.2,28.0,1.0,0.0,4.0,3.0,0.0,0.0,13.0,8.2,0.6,0.2,8.8,88.5,0.4,3.3,16.9,0.1,0.1,13.4,0.0
Ryan Flournoy,DAL,157.0,10.0,14.0,102,10.2,26.0,1.0,0.0,0.0,0.0,0.0,1.0,11.0,8.2,0.7,1.8,12.0,141.1,1.1,0.0,0.0,0.0,0.0,20.5,0.0
Devontez Walker,BAL,158.0,1.0,3.0,21,21.0,21.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,8.1,1.2,4.7,22.3,273.2,2.0,0.0,3.5,0.0,0.0,39.8,275.0
Kristian Wilkerson,LV,159.0,2.0,3.0,18,9.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,7.8,3.9,2.4,1.5,17.5,0.2,0.0,0.0,0.0,0.0,2.8,0.0
Jalen Reagor,LAC,160.0,7.0,12.0,100,14.3,41.0,2.0,0.0,3.0,-3.0,0.0,1.0,8.0,7.7,1.0,0.1,7.0,90.7,0.7,0.0,2.0,0.0,0.0,13.2,0.0
Scotty Miller,PIT,163.0,5.0,9.0,69,13.8,21.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,6.9,0.5,0.1,5.6,69.6,0.3,0.0,1.3,0.0,0.0,8.6,0.0
Ben Skowronek,PIT,164.0,5.0,5.0,69,13.8,23.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,6.9,0.7,3.1,9.0,111.0,1.0,0.0,4.0,0.0,0.0,17.5,0.0
Jacob Cowing,SF,165.0,4.0,6.0,80,20.0,41.0,1.0,0.0,1.0,7.0,0.0,1.0,15.0,6.7,0.4,3.2,11.0,134.0,1.0,0.0,6.0,0.0,0.0,20.0,0.0
River Cracraft,SEA,166.0,7.0,9.0,66,9.4,16.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.6,0.8,0.0,9.3,78.9,0.3,0.0,0.0,0.0,0.0,9.5,0.0
Michael Woods II,CLE,167.0,7.0,17.0,65,9.3,16.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.5,1.3,0.3,9.0,119.0,1.0,0.0,4.0,0.0,0.0,18.3,0.0
Jalin Hyatt,NYG,168.0,8.0,19.0,62,7.8,19.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,6.2,0.4,4.9,43.2,539.7,2.5,0.0,1.0,0.0,0.3,68.6,281.0
Ihmir Smith-Marsette,NYG,169.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0,0.4,0.1,11.3,81.8,0.6,0.0,13.0,0.0,0.0,12.9,0.0
Laviska Shenault Jr.,BUF,170.0,5.0,5.0,36,7.2,18.0,0.0,0.0,1.0,1.0,0.0,2.0,12.0,5.7,0.5,0.1,5.2,54.9,0.2,5.3,36.6,0.1,0.1,11.0,0.0
DeAndre Carter,CLE,172.0,9.0,14.0,72,8.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,5.2,0.4,0.1,2.0,21.0,0.0,0.0,6.0,0.0,0.0,2.7,0.0
Nikko Remigio,KC,173.0,2.0,6.0,48,24.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,4.8,1.0,2.4,10.0,130.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0
Tyquan Thornton,KC,174.0,4.0,8.0,47,11.8,17.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.7,0.8,0.1,16.0,199.6,1.0,1.2,8.0,0.0,0.1,26.7,0.0
Charlie Jones,CIN,175.0,1.0,1.0,5,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,4.5,0.6,0.1,6.8,83.1,0.5,0.0,1.7,0.0,0.0,11.7,0.0
Cody White,SEA,176.0,2.0,3.0,44,22.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.4,1.1,0.1,1.7,19.5,0.2,0.0,0.0,0.0,0.0,3.0,0.0
Dee Eskridge,MIA,177.0,3.0,3.0,44,14.7,30.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,4.4,0.7,3.1,4.0,56.0,0.0,0.0,6.0,0.0,0.0,6.2,0.0
Tim Jones,MIN,179.0,3.0,5.0,41,13.7,20.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,4.1,0.3,3.1,4.9,57.0,0.6,0.0,2.0,0.0,0.0,9.4,0.0
Terrace Marshall Jr.,PHI,180.0,3.0,6.0,41,13.7,28.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,4.1,0.6,0.0,5.0,64.0,0.0,0.0,4.0,0.0,0.0,6.8,0.0
Treylon Burks,TEN,182.0,4.0,8.0,34,8.5,13.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,3.5,0.7,3.6,27.0,358.0,1.8,1.8,18.7,0.1,0.6,47.4,293.0
David Bell,CLE,186.0,3.0,3.0,27,9.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.7,2.7,0.1,15.2,157.5,1.5,0.0,1.0,0.0,0.0,24.7,0.0
Anthony Gould,IND,188.0,1.0,1.0,23,23.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,2.3,0.3,0.6,6.8,80.8,0.6,0.0,0.0,0.0,0.0,11.8,0.0
Ronnie Bell,DET,189.0,2.0,6.0,22,11.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.2,0.3,0.1,6.4,78.0,0.6,0.0,2.0,0.0,0.0,11.6,0.0
Malachi Corley,NYJ,190.0,3.0,6.0,16,5.3,10.0,0.0,0.0,2.0,26.0,0.0,1.0,7.0,2.2,0.3,14.3,35.2,404.2,2.5,3.6,24.7,0.1,0.7,56.9,255.0
Jamari Thrash,CLE,191.0,3.0,7.0,22,7.3,11.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.2,0.2,1.2,11.0,141.0,1.0,0.0,6.0,0.0,0.0,20.7,0.0
Casey Washington,ATL,197.0,1.0,2.0,14,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.4,0.7,0.0,8.7,105.8,0.8,0.0,0.0,0.0,0.0,15.5,0.0
Isaiah Hodgins,SF,198.0,2.0,2.0,12,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.2,0.4,0.0,14.0,183.0,1.0,0.0,4.0,0.0,0.0,24.7,0.0
Javon Baker,NE,199.0,1.0,4.0,12,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.2,0.1,8.5,22.4,269.7,1.4,0.0,7.3,0.0,0.0,36.3,233.0
Brandon Johnson,PIT,203.0,1.0,1.0,9,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.9,0.3,3.5,10.0,124.0,1.0,0.0,7.0,0.0,0.0,19.1,0.0
Isaiah Williams,CIN,208.0,2.0,3.0,6,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.6,0.1,0.0,13.6,161.8,1.1,0.0,0.0,0.0,0.1,22.5,0.0
Tyler Scott,CHI,211.0,1.0,1.0,5,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.5,0.0,0.9,8.9,101.7,0.8,2.1,18.2,0.1,0.0,17.1,0.0
Seth Williams,DAL,219.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.8,19.9,0.2,0.0,0.0,0.0,0.0,3.0,0.0
KJ Hamler,BUF,222.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.1,9.0,125.0,1.0,0.0,5.0,0.0,0.0,19.0,0.0
Justyn Ross,KC,224.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,103.0,1.0,0.0,0.0,0.0,0.0,16.3,0.0
Trishton Jackson,ARI,226.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.7,18.7,0.2,0.0,0.0,0.0,0.0,2.9,0.0
Quez Watkins,ARI,227.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,9.0,127.0,1.0,0.0,3.0,0.0,0.0,19.0,0.0
Easop Winston Jr.,NYJ,229.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,59.2,0.4,0.0,0.0,0.0,0.0,8.1,0.0
Marquez Callaway,TB,230.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.4,17.3,0.2,0.0,0.0,0.0,0.0,2.7,0.0
D.J. Montgomery,IND,231.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,16.0,192.0,1.0,0.0,6.0,0.0,0.0,25.8,0.0
Roman Wilson,PIT,234.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.9,37.0,480.0,2.8,0.7,10.0,0.0,0.4,65.0,234.5
Tejhaun Palmer,ARI,237.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,122.0,1.0,0.0,0.0,0.0,0.0,18.2,0.0
Brenden Rice,LAC,242.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.7,7.2,87.9,0.6,0.0,2.0,0.0,0.0,12.7,267.0
Tahj Washington,MIA,246.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,131.0,1.0,0.0,0.0,0.0,0.0,19.1,0.0
Jason Brownlee,KC,251.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,78.6,0.6,0.0,1.5,0.0,0.0,11.5,0.0
John Stephens Jr.,DAL,257.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,53.0,711.0,4.0,2.0,10.0,0.0,2.0,92.1,0.0
Skyy Moore,KC,272.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.2,8.5,99.5,0.8,0.0,3.0,0.0,0.1,14.8,0.0
Kyle Philips,LV,274.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.8,29.1,0.1,0.0,0.5,0.0,0.0,3.5,0.0
Danny Gray,PHI,277.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,7.0,94.0,1.0,0.0,4.0,0.0,0.0,15.8,0.0
Cornelius Johnson,GB,284.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,11.0,166.0,1.0,0.0,0.0,0.0,0.0,22.6,0.0
Irvin Charles,NYJ,287.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.1,2.6,29.7,0.2,0.0,0.0,0.0,0.0,4.3,0.0
Antoine Green,DET,289.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,12.0,141.0,1.0,0.0,0.0,0.0,0.0,20.1,0.0
Bryce Ford-Wheaton,NYG,293.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.3,7.1,74.8,0.4,0.0,0.0,0.0,0.0,9.6,0.0
A.T. Perry,DEN,296.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,21.8,318.1,2.4,0.3,1.8,0.0,0.0,46.6,323.0
Montrell Washington,NYG,301.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.7,21.1,0.2,0.0,0.0,0.0,0.0,3.1,0.0
Dareke Young,SEA,302.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.1,5.1,59.7,0.4,0.0,0.0,0.0,0.0,8.1,0.0
Zach Pascal,NYG,315.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.1,6.8,83.5,0.7,0.0,2.0,0.0,0.0,12.5,0.0
Braxton Berrios,HOU,319.0,0.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.9,14.4,140.6,0.9,0.0,2.7,0.0,0.1,19.8,0.0
David Sills,ATL,322.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,16.9,0.1,0.0,0.0,0.0,0.0,2.5,0.0
Russell Gage Jr.,SF,323.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,114.0,1.0,0.0,3.0,0.0,0.0,17.7,0.0
Phillip Dorsett II,ATL,326.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3,244.5,1.5,0.0,0.0,0.0,0.0,33.2,0.0
Chris Moore,WAS,329.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,7.7,92.6,0.5,0.0,3.3,0.0,0.0,12.7,0.0
Velus Jones Jr.,NO,331.0,1.0,1.0,8,8.0,8.0,0.0,0.0,3.0,11.0,0.0,1.0,2.0,-0.1,-0.1,0.1,1.9,25.0,0.1,2.3,9.7,0.1,0.0,4.4,0.0
Jha'Quan Jackson,TEN,335.0,1.0,3.0,8,8.0,8.0,0.0,0.0,1.0,-5.0,0.0,2.0,12.0,-3.7,-0.3,0.1,4.0,41.0,0.0,0.0,0.0,0.0,0.0,4.1,0.0
