name,team,position,rank,non_ppr,BYE
Saquon Barkley,PHI,RB1,1,261,9.0
Derrick Henry,BAL,RB2,2,251,7.0
Bijan Robinson,ATL,RB3,3,242,5.0
Ja'Marr Chase,CIN,WR1,4,203,10.0
Jonathan Taylor,IND,RB4,5,224,11.0
Christian McCaffrey,SF,RB5,6,221,14.0
Jahmyr Gibbs,DET,RB6,7,237,8.0
Justin Jefferson,MIN,WR2,8,194,6.0
CeeDee Lamb,DAL,WR3,9,177,10.0
Ashton Jeanty,LVR,RB7,10,206,8.0
Puka Nacua,LAR,WR4,11,174,8.0
Nico Collins,HOU,WR5,12,184,6.0
Brian Thomas Jr.,JAC,WR6,13,167,8.0
Malik Nabers,NYG,WR7,14,167,14.0
A.J. Brown,PHI,WR8,15,174,9.0
Kyren Williams,LAR,RB8,16,206,8.0
Josh Jacobs,GB,RB9,17,213,5.0
Tee Higgins,CIN,WR9,18,167,10.0
Drake London,ATL,WR10,19,164,5.0
Joe Mixon,HOU,RB10,20,193,6.0
De'Von Achane,MIA,RB11,21,201,12.0
Amon-Ra St. Brown,DET,WR11,22,157,8.0
Tyreek Hill,MIA,WR12,23,147,12.0
Lamar Jackson,BAL,QB1,24,361,7.0
Jayden Daniels,WAS,QB2,25,362,12.0
Josh Allen,BUF,QB3,26,356,7.0
Breece Hall,NYJ,RB12,27,188,9.0
Jalen Hurts,PHI,QB4,28,361,9.0
James Cook,BUF,RB13,29,196,7.0
Mike Evans,TB,WR13,30,147,9.0
Bucky Irving,TB,RB14,31,208,9.0
Brock Bowers,LVR,TE1,32,141,8.0
Chase Brown,CIN,RB15,33,169,10.0
Ladd McConkey,LAC,WR14,34,157,12.0
Kenneth Walker III,SEA,RB16,35,175,8.0
Chuba Hubbard,CAR,RB17,36,175,14.0
George Kittle,SF,TE2,37,141,14.0
Trey McBride,ARI,TE3,38,142,8.0
Rashee Rice,KC,WR15,39,135,10.0
James Conner,ARI,RB18,40,185,8.0
Alvin Kamara,NO,RB19,41,177,11.0
Davante Adams,LAR,WR16,42,159,8.0
Terry McLaurin,WAS,WR17,43,145,12.0
Marvin Harrison Jr.,ARI,WR18,44,144,8.0
Xavier Worthy,KC,WR19,45,141,10.0
D.K. Metcalf,PIT,WR20,46,136,5.0
D.J. Moore,CHI,WR21,47,135,5.0
Jameson Williams,DET,WR22,48,126,8.0
Courtland Sutton,DEN,WR23,49,138,12.0
Tetairoa McMillan,CAR,WR24,50,118,14.0
Joe Burrow,CIN,QB5,51,345,10.0
David Montgomery,DET,RB20,52,173,8.0
Zay Flowers,BAL,WR25,53,130,7.0
George Pickens,DAL,WR26,54,124,10.0
Travis Hunter,JAC,WR27,55,107,8.0
Sam LaPorta,DET,TE4,56,120,8.0
Jaxon Smith-Njigba,SEA,WR28,57,129,8.0
Garrett Wilson,NYJ,WR29,58,128,9.0
DeVonta Smith,PHI,WR30,59,132,9.0
Quinshon Judkins,CLE,RB21,60,145,9.0
Jaylen Waddle,MIA,WR31,61,117,12.0
Chris Olave,NO,WR32,62,125,11.0
Omarion Hampton,LAC,RB22,63,169,12.0
Mark Andrews,BAL,TE5,64,106,7.0
Aaron Jones,MIN,RB23,65,162,6.0
Deebo Samuel,WAS,WR33,66,121,12.0
Jayden Reed,GB,WR34,67,112,5.0
Jordan Addison,MIN,WR35,68,122,6.0
Calvin Ridley,TEN,WR36,69,128,10.0
Chris Godwin,TB,WR37,70,117,9.0
Isiah Pacheco,KC,RB24,71,147,10.0
Tony Pollard,TEN,RB25,72,155,10.0
Rome Odunze,CHI,WR38,73,114,5.0
TreVeyon Henderson,NE,RB26,74,135,14.0
Jonnu Smith,MIA,TE6,75,106,12.0
Jauan Jennings,SF,WR39,76,122,14.0
RJ Harvey,DEN,RB27,77,148,12.0
Travis Kelce,KC,TE7,78,110,10.0
Brian Robinson Jr.,WAS,RB28,79,145,12.0
David Njoku,CLE,TE8,80,102,9.0
Jakobi Meyers,LVR,WR40,81,116,8.0
T.J. Hockenson,MIN,TE9,82,102,6.0
Kaleb Johnson,PIT,RB29,83,129,5.0
D'Andre Swift,CHI,RB30,84,160,5.0
Jerry Jeudy,CLE,WR41,85,125,9.0
Tucker Kraft,GB,TE10,86,96,5.0
Rashid Shaheed,NO,WR42,87,117,11.0
Khalil Shakir,BUF,WR43,88,111,7.0
Keon Coleman,BUF,WR44,89,117,7.0
Dalton Kincaid,BUF,TE11,90,89,7.0
Tyler Warren,IND,TE12,91,74,11.0
Dallas Goedert,PHI,TE13,92,87,9.0
Darnell Mooney,ATL,WR45,93,110,5.0
Ricky Pearsall,SF,WR46,94,108,14.0
Patrick Mahomes,KC,QB6,95,318,10.0
Tank Bigsby,JAC,RB31,96,104,8.0
Brandon Aiyuk,SF,WR47,97,96,14.0
Jake Ferguson,DAL,TE14,98,90,10.0
Isaiah Likely,BAL,TE15,99,82,7.0
Stefon Diggs,NE,WR48,100,94,14.0
Josh Downs,IND,WR49,101,98,11.0
Travis Etienne,JAC,RB32,102,118,8.0
Colston Loveland,CHI,TE16,103,73,5.0
Pat Freiermuth,PIT,TE17,104,83,5.0
Jaylen Warren,PIT,RB33,105,137,5.0
Marquise Brown,KC,WR50,106,98,10.0
Michael Pittman Jr.,IND,WR51,107,97,11.0
Kyle Pitts,ATL,TE18,108,78,5.0
Najee Harris,LAC,RB34,109,109,12.0
Cooper Kupp,SEA,WR52,110,104,8.0
Zach Ertz,WAS,TE19,111,78,12.0
Evan Engram,DEN,TE20,112,81,12.0
Cameron Skattebo,NYG,RB35,113,100,14.0
Christian Kirk,HOU,WR53,114,98,6.0
J.K. Dobbins,UNS,RB36,115,101,N/A
Hunter Henry,NE,TE21,116,81,14.0
Younghoe Koo,ATL,K1,117,76,5.0
Tyrone Tracy Jr.,NYG,RB37,118,130,14.0
Mike Gesicki,CIN,TE22,119,74,10.0
Jayden Higgins,HOU,WR54,120,95,6.0
Jake Bates,DET,K2,121,81,8.0
Cade Otton,TB,TE23,122,79,9.0
Chigoziem Okonkwo,TEN,TE24,123,74,10.0
Amari Cooper,UNS,WR55,124,84,N/A
Rashod Bateman,BAL,WR56,125,99,7.0
Matthew Golden,GB,WR57,126,114,5.0
Kyler Murray,ARI,QB7,127,301,8.0
Romeo Doubs,GB,WR58,128,86,5.0
Juwan Johnson,NO,TE25,129,68,11.0
Bo Nix,DEN,QB8,130,303,12.0
Dalton Schultz,HOU,TE26,131,72,6.0
Baker Mayfield,TB,QB9,132,308,9.0
Justin Herbert,LAC,QB10,133,291,12.0
Joshua Palmer,BUF,WR59,134,78,7.0
Caleb Williams,CHI,QB11,135,293,5.0
Luther Burden III,CHI,WR60,136,71,5.0
Keenan Allen,UNS,WR61,137,85,N/A
Brenton Strange,JAC,TE27,138,69,8.0
Quentin Johnston,LAC,WR62,139,87,12.0
Jordan Mason,MIN,RB38,140,97,6.0
Justin Tucker,BAL,K3,141,63,7.0
Jack Bech,LVR,WR63,142,86,8.0
Evan McPherson,CIN,K4,143,66,10.0
Mason Taylor,NYJ,TE28,144,55,9.0
Tyjae Spears,TEN,RB39,145,98,10.0
Tyler Bass,BUF,K5,146,67,7.0
Tre Harris,LAC,WR64,147,84,12.0
Matt Gay,WAS,K6,148,66,12.0
Emeka Egbuka,TB,WR65,149,80,9.0
Javonte Williams,DAL,RB40,150,127,10.0
Dak Prescott,DAL,QB12,151,278,10.0
Tyler Loop,BAL,K7,152,83,7.0
Austin Ekeler,WAS,RB41,153,101,12.0
Harrison Butker,KC,K8,154,74,10.0
Justin Fields,NYJ,QB13,155,295,9.0
Xavier Legette,CAR,WR66,156,76,14.0
Cole Kmet,CHI,TE29,157,58,5.0
Jake Elliott,PHI,K9,158,65,9.0
Kyle Williams,NE,WR67,159,59,14.0
Theo Johnson,NYG,TE30,160,59,14.0
Diontae Johnson,CLE,WR68,161,73,9.0
Jalen McMillan,TB,WR69,162,72,9.0
Trevor Lawrence,JAC,QB14,163,285,8.0
Jalen Coker,CAR,WR70,164,69,14.0
Drake Maye,NE,QB15,165,281,14.0
Michael Wilson,ARI,WR71,166,83,8.0
Chase McLaughlin,TB,K10,167,63,9.0
Rachaad White,TB,RB42,168,89,9.0
Rhamondre Stevenson,NE,RB43,169,119,14.0
Jared Goff,DET,QB17,170,281,8.0
Brock Purdy,SF,QB16,171,296,14.0
Zach Charbonnet,SEA,RB44,172,92,8.0
Marvin Mims Jr.,DEN,WR72,173,91,12.0
Adam Thielen,CAR,WR73,174,92,14.0
Cedric Tillman,CLE,WR74,175,83,9.0
Cam Little,JAC,K11,176,59,8.0
Bhayshul Tuten,JAC,RB45,177,59,8.0
Chad Ryland,ARI,K12,178,65,8.0
Alec Pierce,IND,WR75,179,72,11.0
Tyler Allgeier,ATL,RB46,180,86,5.0
Jordan Love,GB,QB18,181,272,5.0
Jason Sanders,MIA,K13,182,59,12.0
Darius Slayton,NYG,WR76,183,70,14.0
Cameron Dicker,LAC,K14,184,69,12.0
C.J. Stroud,HOU,QB19,185,277,6.0
Mike Williams,LAC,WR77,186,65,12.0
Elijah Arroyo,SEA,TE31,187,23,8.0
Terrance Ferguson,LAR,TE32,188,27,8.0
Jake Moody,SF,K15,189,59,14.0
Isaac Guerendo,SF,RB47,190,85,14.0
Ja'Tavion Sanders,CAR,TE33,191,52,14.0
Ray Davis,BUF,RB48,192,77,7.0
Tua Tagovailoa,MIA,QB20,193,269,12.0
Jaylen Wright,MIA,RB49,194,70,12.0
Jaydon Blue,DAL,RB50,195,61,10.0
Trey Benson,ARI,RB51,196,79,8.0
J.J. McCarthy,MIN,QB21,197,283,6.0
Dustin Hopkins,CLE,K16,198,53,9.0
Christian Watson,GB,WR78,199,71,5.0
Joshua Karty,LAR,K17,200,58,8.0
